plor_cd,plor_nm
110607,서울 종로구 광화문우체국사서함700∼799
110608,서울 종로구 광화문우체국사서함800∼899
110609,서울 종로구 광화문우체국사서함900∼999
110610,서울 종로구 광화문우체국사서함1000∼1099
110611,서울 종로구 광화문우체국사서함1100∼1199
110612,서울 종로구 광화문우체국사서함1200∼1299
110613,서울 종로구 광화문우체국사서함1300∼1399
110614,서울 종로구 광화문우체국사서함1400∼1499
110615,서울 종로구 광화문우체국사서함1500∼1599
110616,서울 종로구 광화문우체국사서함1600∼1699
110617,서울 종로구 광화문우체국사서함1700∼1799
110618,서울 종로구 광화문우체국사서함1800∼1899
110619,서울 종로구 광화문우체국사서함1900∼2000
110620,서울 종로구 광화문우체국사서함2001∼2099
110621,서울 종로구 광화문우체국사서함2100∼2199
110622,서울 종로구 광화문우체국사서함2200∼2299
110623,서울 종로구 광화문우체국사서함2300∼2399
110624,서울 종로구 광화문우체국사서함2400∼2499
110700,서울 종로구 신문로1가  세안빌딩 
110701,서울 종로구 수송동  종로구청 
110702,서울 종로구 공평동  SC제일은행본점 
110703,서울 종로구 세종로  문화체육관광부 
110704,서울 종로구 관훈동  관훈빌딩 
110705,서울 종로구 수송동  국세청 
110706,서울 종로구 삼청동  감사원 
110707,서울 종로구 낙원동  낙원빌딩 
110708,서울 종로구 경운동  서울종로경찰서 
110709,서울 종로구 낙원동  종로세무서 
110710,서울 종로구 세종로  미국대사관 
110711,서울 종로구 인의동  서울혜화경찰서 
110712,서울 종로구 인의동  서울시선거관리위원회 
110713,서울 종로구 신문로1가  금호아시아나1관 
110714,서울 종로구 종로1가  교보생명빌딩 
110715,서울 종로구 세종로  동아일보사 
110716,서울 종로구 도렴동  도렴정우빌딩 
110717,서울 종로구 인의동  동원회관빌딩 
110718,서울 종로구 관훈동  백상빌딩 
110719,서울 종로구 내수동  대우빌딩 
110720,서울 종로구 내자동  세양빌딩 
110721,서울 종로구 당주동  로얄빌딩 
110722,서울 종로구 당주동  미도파빌딩 
110723,서울 종로구 당주동  변호사빌딩 
110724,서울 종로구 당주동  세종빌딩 
110725,서울 종로구 연지동  삼양사 
110726,서울 종로구 서린동  청계11빌딩 
110727,서울 종로구 수송동  석탄회관빌딩 
110728,서울 종로구 서린동  SK빌딩 
110729,서울 종로구 서린동  서울센트럴빌딩 
110730,서울 종로구 세종로  광화문빌딩 
110731,서울 종로구 세종로  현대해상화재보험빌딩 
110732,서울 종로구 수송동  대림빌딩 
110733,서울 종로구 수송동  코리안리재보험빌딩 
110734,서울 종로구 안국동  안국빌딩 
110735,서울 종로구 필운동  배화여자대학 
110736,서울 종로구 연지동  기독교회관 
110737,서울 종로구 연지동  보증보험빌딩 
110738,서울 종로구 연지동  여전도회관 
110739,서울 종로구 연지동  연강빌딩 
110740,서울 종로구 연지동  기독교연합회관 
110741,서울 종로구 인사동  대일빌딩 
110742,서울 종로구 운니동  삼환빌딩 
110743,서울 종로구 홍지동  상명대학교 
110744,서울 종로구 연건동  서울대학교병원 
110745,서울 종로구 명륜동3가  성균관대학교 
110746,서울 종로구 평동  강북삼성병원 
110747,서울 종로구 평동  적십자병원 
110748,서울 종로구 관철동  삼일빌딩 
110749,서울 종로구 연건동  서울대학교치과대학 
110750,서울 종로구 원남동  보령빌딩 
110751,서울 종로구 적선동  한국생산성본부 
110752,서울 종로구 서린동  영풍빌딩 
110753,서울 종로구 종로2가  Y.M.C.A 
110754,서울 종로구 연지동  삼성카드빌딩 
110755,서울 종로구 수송동  이마빌딩 
110756,서울 종로구 적선동  적선현대빌딩 
110757,서울 종로구 창신1동  두산아파트 
110758,서울 종로구 혜화동  가톨릭대학교성신교정 
110759,서울 종로구 당주동  동원빌딩 
110760,서울 종로구 세종로  정부중앙청사 
110761,서울 종로구 신문로2가  피어선빌딩 
110762,서울 종로구 신문로2가  시티빌딩 
110763,서울 종로구 연건동  KT혜화지사 
110764,서울 종로구 종로1가  농협1가지점 
110765,서울 종로구 동숭동  예총 
110766,서울 종로구 동숭동  한국문화예술위원회 
110767,서울 종로구 명륜동2가  아남아파트 
110768,서울 종로구 연건동  치과병원 
110769,서울 종로구 연건동  어린이병원 
110770,서울 종로구 연건동  국제디자인대학원대학교 
110771,서울 종로구 창신3동  쌍용아파트 
110772,서울 종로구 종로2가  YBM시사 
110773,서울 종로구 종로2가  미려빌딩 
110774,서울 종로구 수송동  수송타워빌딩 
110775,서울 종로구 경운동  수운회관 
110776,서울 종로구 경운동  운현궁SK허브 
110777,서울 종로구 세종로  방송통신위원회 
110778,서울 종로구 인사동  태화빌딩 
110779,서울 종로구 수송동  거양빌딩 
110780,서울 종로구 인의동  인의빌딩 
110781,서울 종로구 신문로2가  서울시교육청 
110782,서울 종로구 연건동 국제협력단
110783,서울 종로구 종로6가  이대부속병원 
110784,서울 종로구 종로6가  동대문종합시장 
110785,서울 종로구 인의동  웅진빌딩 
110786,서울 종로구 신문로1가  흥국생명빌딩 
110787,서울 종로구 도렴동  정부중앙청사별관 
110788,서울 종로구 수송동  서울지방국세청 
110789,서울 종로구 종로2가  종로타워 
110790,서울 종로구 서린동  서린빌딩 
110791,서울 종로구 동숭동  한국방송통신대학교 
110792,서울 종로구 중학동  한국일보사건물 
110793,서울 종로구 계동  보건복지가족부 
110794,서울 종로구 인사동  하나로빌딩 
110795,서울 종로구 운니동  가든타워 
110796,서울 종로구 신문로1가  고려빌딩 
110797,서울 종로구 무악동  현대아파트 
110798,서울 종로구 내자동  서울지방경찰청 
110799,서울 종로구 연건동  서울대학교의과대학 
110800,서울 종로구 계동1∼100
110801,서울 종로구 계동101∼148
110802,서울 종로구 구기동1∼18
110803,서울 종로구 구기동19∼124
110804,서울 종로구 구기동125∼259
110805,서울 종로구 누하동1∼138
110806,서울 종로구 누하동139∼279
110807,서울 종로구 돈의동1∼76
110808,서울 종로구 돈의동77∼171
110809,서울 종로구 동숭동1∼130
110810,서울 종로구 동숭동131∼200
110811,서울 종로구 명륜동3가1
110812,서울 종로구 명륜동3가2∼160
110813,서울 종로구 무악동45∼60
110814,서울 종로구 무악동61∼70
110815,서울 종로구 무악동71∼73
110816,서울 종로구 부암동1∼200
110817,서울 종로구 부암동201∼300
110818,서울 종로구 부암동301∼320
110819,서울 종로구 부암동321∼400
110820,서울 종로구 세종로1
110821,서울 종로구 세종로80∼81
110822,서울 종로구 세종로140∼250
110823,서울 종로구 숭인1동1∼70
110824,서울 종로구 숭인2동71∼199
110825,서울 종로구 숭인2동200∼206
110826,서울 종로구 숭인2동207∼320
110827,서울 종로구 숭인2동321∼1266
110828,서울 종로구 숭인2동1365∼1399
110829,서울 종로구 숭인2동1400∼1435
110830,서울 종로구 신영동1∼175
110831,서울 종로구 신영동176∼245
110832,서울 종로구 신영동246∼287
110833,서울 종로구 예지동1∼31
110834,서울 종로구 예지동32∼188
110835,서울 종로구 종로5가1∼124
110836,서울 종로구 종로5가125∼503
110837,서울 종로구 창신2동23
110838,서울 종로구 창신1동72∼130
110839,서울 종로구 창신2동5951∼284
110840,서울 종로구 창신1동131∼309
110841,서울 종로구 창신1동310∼415
110842,서울 종로구 창신1동416∼526
110843,서울 종로구 창신2동634∼686
110844,서울 종로구 충신동1∼60
110845,서울 종로구 충신동61∼215
110846,서울 종로구 평창동1∼150
110847,서울 종로구 평창동151∼399
110848,서울 종로구 평창동400∼529
110849,서울 종로구 평창동530∼599
110850,서울 종로구 효제동1∼233
110851,서울 종로구 효제동236∼255
110852,서울 종로구 종로4가126∼188
110853,서울 종로구 종로4가1∼125
110854,서울 종로구 창신2동527∼560
110855,서울 종로구 창신2동561∼579
110856,서울 종로구 묘동  단성사 
110857,서울 종로구 신문로1가  금호아시아나본관 
110858,서울 종로구 수송동  두산위브파빌리온 
110871,서울 종로구 내수동  경희궁의아침2단지 
110872,서울 종로구 내수동  경희궁의아침3단지 
110873,서울 종로구 내수동  경희궁의아침4단지 
110876,서울 종로구 숭인동  롯데캐슬천지인 
110877,서울 종로구 무악동  인왕산IPARK아파트 101∼117동
110880,서울 종로구 숭인2동  대우디오빌아파트 
110885,서울 종로구 수송동  서머셋팰리스서울 
110888,서울 종로구 종로1가  르메이에르종로타운1 
110890,서울 종로구 인의동  효성주얼리시티 
110900,서울 종로구 관훈동  성화빌딩 
110901,서울 종로구 내수동  파크팰리스 
110920,서울 종로구 계동  현대건설빌딩 
110999,서울 종로구 신문로1가  광화문오피시아 
120000,서울특별시 서대문구
120012,서울 서대문구 충정로2가
120013,서울 서대문구 충정로3가
