도명,지점명,지점코드,위도,경도,고도,설치주소,관측시작일
전라남도,해남군 삼산면,536806A001,34.52835,126.55962,-1,전남 해남군 삼산면 봉학리 99-48 (해남읍 땅끝대로 106),2013-05-23
전라남도,해남군 옥천면,536824B002,34.58164,126.65029,28,전라남도 해남군 옥천면 용정리길 20,2013-05-23
전라남도,화순군 한천면,519822A001,34.9735,127.07065,139,전라남도 화순군 한천면 동가리 29-1,2011-05-18
경상북도,경산시 자인면,712851A001,35.81709,128.81137,62,경상북도 경산시 자인면 계정길 7,2001-05-01
경상북도,경주시 용강상리,780950A001,35.86717,129.22527,110,경상북도 경주시 용강상리길 70 (용강동),2004-11-01
경상북도,구미시 선산읍,730802A001,36.23156,128.28812,32,경북 구미시 선산읍 이문리 862,2010-09-13
경상북도,구미시 옥성면,039102B003,36.32622,128.27677,40,구미시 옥성면 옥관리 59-4,2007-03-30
경상북도,군위군 소보면,039000F026,36.27872,128.46624,85,경북 군위군 소보면 위성리 251-4,2018-11-22
경상북도,군위군 효령면,716823A001,36.18081,128.59212,115,경상북도 군위군 효령면 호우로 97(성리 111),2008-12-01
경상북도,대구시 북구,041404B001,35.95484,128.56192,61,대구시 북구 동호동 189,2007-03-30
경상북도,문경시 흥덕동,745230A001,36.61436,128.20773,85,경상북도 문경시 중앙로 280 (흥덕동),2001-07-01
경상북도,봉화군 봉성면,755851A002,36.90123,128.77321,266,경북 봉화군 봉성면 금봉리 779,2006-06-01
경상북도,봉화군 석포면,755851A001,37.0522,129.00311,586,경상북도 봉화군 석포면 대현리 149-25,2010-10-05
경상북도,봉화군 외삼리,036229B007,36.89858,128.80851,300,봉화군 봉성면 외삼리 92-1,2007-03-30
경상북도,상주시 공성면,037268B004,36.28226,128.0739,100,상주시 공성면 장동리 69,2007-03-20
경상북도,상주시 외서면,037136F022,36.49427,128.17598,81,경북 상주시 외서면 북상주로 773,2017-11-24
경상북도,상주시 초산동,742290A001,36.4537,128.16712,66,경상북도 상주시 발산로 71 (초산동),2010-09-13
경상북도,상주시 화서면,741862E001,36.43992,127.94446,294,경상북도 상주시 화서면 중화로 2161,2010-12-17
경상북도,성주군 대가면,719862A001,35.91477,128.25264,60,경상북도 성주군 대가면 참별로 2479,2011-04-21
경상북도,성주군 대천리,040054B002,35.87969,128.17815,122,성주군 대가면 대천리 635,2007-03-22
경상북도,안동시 북후면,036614B005,36.66401,128.70103,134,안동시 북후면 도촌리 30-1,2007-03-30
경상북도,안동시 송천동,760380A001,36.53824,128.80505,78,경상북도 안동시 경동로 1484-10 (송천동),2011-01-20
경상북도,영덕군 병곡면,766851E001,36.56831,129.39595,17,경북 영덕군 병곡면 원황1리 767 영덕출장소,2007-04-01
경상북도,영양군 대천리,036531B008,36.65442,129.14864,227,영양군 영양읍 대천리 579-3,2007-03-30
경상북도,영양군 영양읍,764803A001,36.65608,129.1464,248,경상북도 영양군 영양읍 영양창수로 323,2011-08-10
경상북도,영주시 봉현면,036043F024,36.86547,128.49416,283.4,경북 영주시 봉현면 두산리 534-2,2018-11-20
경상북도,영주시 부석면,750823A005,37.00268,128.65301,386,경상북도 영주시 부석면 임곡리 593,2008-08-01
경상북도,영주시 안정로,750873A001,36.84645,128.56092,173,경상북도 영주시 안정면 안정로 30,2011-01-10
경상북도,영주시 안풍리,750873A002,36.85962,128.55838,206,경상북도 영주시 안정면 안풍로 98,2008-08-08
경상북도,영주시 용산리,036052B006,36.80882,128.54033,189,영주시 안정면 용산리 657,2007-03-30
경상북도,영주시 평은면,750852A006,36.76442,128.70167,220,경상북도 영주시 평은면 평은리 972-18,2008-08-01
경상북도,영주시 풍기읍,750804A003,36.8846,128.50629,273,경상북도 영주시 풍기읍 백리길151번길 21,2008-08-01
경상북도,영천시 금호읍,038882F017,35.92065,128.86366,77,경북 영천시 금호읍 가라골1길 77-11,2017-11-24
경상북도,영천시 오미동,770270A001,35.99077,128.9253,110,경상북도 영천시 천문로 622-13 (오미동),2012-12-02
경상북도,예천군 예천읍,757802A001,36.67708,128.46287,101,경상북도 예천군 예천읍 도효자로 87-56,2010-09-10
경상북도,울진군 매화면,767862A001,36.91721,129.37943,27,경북 울진군 매화면 매화매실길 76,2012-04-26
경상북도,의성군 봉양면,769912A001,36.32229,128.64646,90,경북 의성군 봉양면 경북대로 5225,2014-09-02
경상북도,의성군 옥산면,037322D007,36.41577,128.79888,182.7,경북 의성군 옥산면 의성길안로 1445-29,2017-11-09
경상북도,의성군 의성읍,037339B009,36.34158,128.7428,142,의성군 의성읍 상리리 133-6,2007-03-20
경상북도,청도군 각북면,038303A002,35.6693,128.59765,126,경북 청도군 각북면 삼평리 438,2016-06-21
경상북도,청도군 구라리,038316F030,35.64738,128.65092,100.3,경북 청도군 이서면 구라리 553,2018-11-27
경상북도,청도군 이서면,038315B010,35.64786,128.6485,93,청도군 이서면 구라리 787,2007-03-29
경상북도,청도군 화양읍,714902A001,35.64969,128.73431,89,경상북도 청도군 청화3길 10,2005-05-11
경상북도,청송군 부남면,037448F025,36.3017,129.11851,314.9,경북 청송군 부남면 양숙리 609(부남로 798-99),2018-11-21
경상북도,청송군 청송읍,763803A001,36.3906,129.07849,217,경상북도 청송군 청송읍 주왕산로 177,2010-11-05
경상북도,칠곡군 약목면,718814A001,36.03976,128.38128,47,경상북도 칠곡군 약목면 동덕로 146,2011-01-05
경상북도,포항시 북구,791945A001,36.11306,129.30634,45,경상북도 포항시 북구 흥해읍 신흥로 572,2010-11-17
경상남도,거제시 거제면,656933A001,34.85653,128.58051,41,경남 거제시 거제면 거제남서로 3577(거제시농업개발원),2010-11-04
경상남도,거창군 거창읍,670807A001,35.67318,127.92131,194,경남 거창군 거창읍 거함대로 3372-60,2012-12-02
경상남도,거창군 동변리,050124D004,35.72051,127.90142,288.4,경상남도 거창군 거창읍 죽동길 138 경상남도농업기술원 사과이용연구소 내,2016-06-03
경상남도,거창군 주상면,050115F027,35.75929,127.94553,320.2,경남 거창군 주상면 남산리 210-1,2018-11-28
경상남도,고성군 고성읍,638802A001,34.99053,128.3309,20,경상남도 고성군 고성읍 죽계리 435-230,2011-01-19
