plor_cd,plor_nm
210715.0,강원 강릉시 임당동  동아빌딩 
210721.0,강원 강릉시 홍제동  푸르지오아파트 101∼106동
210722.0,강원 강릉시 홍제동  힐스테이트아파트 101∼107동
210730.0,강원 강릉시 입암동  주공아파트 201∼304동
210731.0,강원 강릉시 입암동  주공아파트 401∼504동
210732.0,강원 강릉시 포남1동  동남아파트 
210733.0,강원 강릉시 입암동  녹원아파트 
210734.0,강원 강릉시 포남2동  포남1주공아파트 
210735.0,강원 강릉시 입암동  대인3차아파트 
210736.0,강원 강릉시 포남2동  일송아파트 
210737.0,강원 강릉시 포남2동  송정주공아파트 
210738.0,강원 강릉시 입암동  현대아파트 
210740.0,강원 강릉시 저동  저동현대아파트 
210741.0,강원 강릉시 입암동  금호어울림아파트 101∼115동
210745.0,강원 강릉시 초당동  동부아파트 
210746.0,강원 강릉시 초당동  유화아파트 
210747.0,강원 강릉시 초당동  이화해변아파트 
210750.0,강원 강릉시 교1동  교동부영아파트 301∼304동
210751.0,강원 강릉시 교1동  교동부영아파트 101∼107동
210752.0,강원 강릉시 교1동  교동주공아파트 101∼114동
210753.0,강원 강릉시 교1동  교동부영아파트 601∼605동
210754.0,강원 강릉시 교1동  교동주공아파트 201∼208동
210755.0,강원 강릉시 교1동  교동주공아파트 301∼312동
210756.0,강원 강릉시 교1동  현대2차아파트 
210757.0,강원 강릉시 교1동  하이빌현대아파트 101∼103동
210758.0,강원 강릉시 교1동  교동부영아파트 501∼506동
210759.0,강원 강릉시 교1동  교동부영아파트 201∼204동
210761.0,강원 강릉시 주문진읍  우신아파트 
210762.0,강원 강릉시 연곡면 영진리 부영사랑으로아파트 101∼205동
210768.0,강원 강릉시 교2동  대림e편한세상아파트 101∼104동
210771.0,강원 강릉시 내곡동  내곡한라아파트 
210772.0,강원 강릉시 내곡동  주공아파트 
210773.0,강원 강릉시 내곡동  삼익아파트 
210774.0,강원 강릉시 회산동  주공아파트 101∼106동
210780.0,강원 강릉시 노암동  주공아파트 1∼9동
210781.0,강원 강릉시 노암동  주공아파트 201∼207동
210782.0,강원 강릉시 노암동  남산현대아파트 
210783.0,강원 강릉시 노암동  한라1차아파트 101∼201동
210784.0,강원 강릉시 노암동  신화아파트 
210791.0,강원 강릉시 송정동  송정한신아파트 
210792.0,강원 강릉시 성산면  강릉영동대학 
210793.0,강원 강릉시 입암동  대우이안아파트 
210795.0,강원 강릉시 견소동  신도브래뉴아파트 
210799.0,강원 강릉시 학동 사서함
210800.0,강원 강릉시 주문진읍
210801.0,강원 강릉시 주문진읍 교항1리
210802.0,강원 강릉시 주문진읍 교항4리
210803.0,강원 강릉시 주문진읍 교항10리
210804.0,강원 강릉시 주문진읍 교항11리
210805.0,강원 강릉시 주문진읍 삼교리
210806.0,강원 강릉시 주문진읍 주문1리
210807.0,강원 강릉시 주문진읍 주문5리
210808.0,강원 강릉시 주문진읍 주문7리
210809.0,강원 강릉시 주문진읍 주문10리
210810.0,강원 강릉시 구정면
210811.0,강원 강릉시 구정면 구정리
210820.0,강원 강릉시 강동면
210821.0,강원 강릉시 강동면 모전리
210822.0,강원 강릉시 강동면 산성우리
210823.0,강원 강릉시 강동면 안인리
210824.0,강원 강릉시 강동면 임곡리
210830.0,강원 강릉시 옥계면
210831.0,강원 강릉시 옥계면 금진리
210832.0,강원 강릉시 옥계면 낙풍리
210833.0,강원 강릉시 옥계면 남양리
210834.0,강원 강릉시 옥계면 산계리
210840.0,강원 강릉시 성산면
210841.0,강원 강릉시 성산면 관음리
210842.0,강원 강릉시 성산면 금산리
210843.0,강원 강릉시 성산면 보광리
210850.0,강원 강릉시 사천면
210851.0,강원 강릉시 사천면 노동리
210852.0,강원 강릉시 사천면 미노리
210853.0,강원 강릉시 사천면 사천진리
210860.0,강원 강릉시 연곡면
210861.0,강원 강릉시 연곡면 동덕리
210862.0,강원 강릉시 연곡면 방내리
210863.0,강원 강릉시 연곡면 삼산1리
210864.0,강원 강릉시 연곡면 삼산4리
210865.0,강원 강릉시 연곡면 유등리
210899.0,강원 강릉시 학동  사서함 334
210910.0,강원 강릉시 왕산면
210911.0,강원 강릉시 왕산면 도마1리
210912.0,강원 강릉시 왕산면 도마2리
210913.0,강원 강릉시 왕산면 대기리
210914.0,강원 강릉시 왕산면 고단리
210920.0,강원 강릉시 교2동1∼242
210921.0,강원 강릉시 교2동1271∼1278
210922.0,강원 강릉시 교2동268∼654
210923.0,강원 강릉시 교1동655∼710
210924.0,강원 강릉시 교1동1279∼1519
210925.0,강원 강릉시 내곡동1∼199
210926.0,강원 강릉시 내곡동200∼463
210927.0,강원 강릉시 내곡동464∼623
210928.0,강원 강릉시 노암동1∼220
210929.0,강원 강릉시 노암동221∼237
210930.0,강원 강릉시 노암동238∼345
210931.0,강원 강릉시 노암동346∼500
210932.0,강원 강릉시 노암동600∼1000
210933.0,강원 강릉시 옥천동1∼169
210934.0,강원 강릉시 옥천동170∼182
210935.0,강원 강릉시 입암동1∼441
210936.0,강원 강릉시 입암동442
210937.0,강원 강릉시 입암동443∼600
210938.0,강원 강릉시 입암동601∼708
210939.0,강원 강릉시 포남2동1∼154
210940.0,강원 강릉시 포남2동1006∼1017
210941.0,강원 강릉시 포남1동155∼159
210942.0,강원 강릉시 포남1동1231∼1243
210943.0,강원 강릉시 포남1동1092∼1197
210944.0,강원 강릉시 포남1동1018∼1035
210945.0,강원 강릉시 포남2동5592∼645
210946.0,강원 강릉시 포남1동1225∼1227
210947.0,강원 강릉시 포남2동 1288 1295
210948.0,강원 강릉시 홍제동1∼270
210949.0,강원 강릉시 홍제동271∼1300
210951.0,강원 강릉시 교1동1912∼1920
215000.0,강원도 양양군
215701.0,강원 양양군 양양읍  양양군청 
215702.0,강원 양양군 양양읍  관동대양양캠퍼스 
